Year,Crude Oil,Coal,Natural Gas,Sugar,Barley,Maize,Sorghum,Rice,Wheat,Gold,Platinum,Silver,Cotton,Rubber,Groundnut Oil,Palm Oil,Soybean
1960,1.63,,0.14,0.07,20.15,44.5,36.58,107.35,57.99,35.27,83.5,0.91,0.65,0.78,327,224.42,223.92
1961,1.57,,0.15,0.06,20.75,44.96,41.42,118.95,58.61,35.25,83.5,0.92,0.67,0.6,330.25,228.42,287.33
1962,1.52,,0.16,0.06,22.7,48.65,44.7,134.93,64.33,35.23,83.5,1.08,0.65,0.56,274.34,216.24,227
1963,1.5,,0.16,0.18,23.98,53.77,47.84,125.66,64.49,35.09,80.93,1.28,0.65,0.52,268.5,222.39,223.58
1964,1.45,,0.15,0.13,25.14,54.63,48.24,120.15,67.53,35.1,88.48,1.29,0.65,0.49,315.38,239.45,233
1965,1.42,,0.16,0.04,24.34,55.67,47.93,118.79,59.46,35.12,98.04,1.29,0.64,0.5,323.92,272.52,270
1966,1.36,,0.16,0.04,25.91,58.3,48.58,145.2,62.95,35.13,99.72,1.29,0.62,0.47,296.31,235.64,261.5
1967,1.33,,0.16,0.04,26.25,54.1,51.9,189.37,65.71,34.95,110.25,1.55,0.68,0.39,282.95,223.45,216.83
1968,1.32,,0.16,0.04,25.16,47.96,52.57,182.91,62.77,38.93,117.21,2.14,0.68,0.38,270.73,168.83,178.08
1969,1.27,,0.17,0.07,25.57,52.29,53.76,168.37,58.39,41.08,124.19,1.79,0.63,0.5,331.53,181.11,197.17
1970,1.21,7.8,0.17,0.08,26.36,58.4,51.8,126.31,54.9,35.94,132.5,1.77,0.68,0.41,378.55,260.05,286.33
1971,1.69,8.68,0.18,0.1,28.38,58.4,55.77,111.54,61.73,40.8,123.04,1.55,0.78,0.33,440.62,260.94,303.75
1972,1.82,9.6,0.19,0.16,30.07,55.75,56.24,129.45,69.81,58.16,127.13,1.68,0.83,0.33,425.93,217.26,240.58
1973,2.81,11.48,0.21,0.21,51.03,97.82,93.39,289.58,139.81,97.33,152.18,2.56,1.39,0.68,546.17,377.54,436
1974,10.97,16.89,0.29,0.65,64.93,131.23,120.94,517.17,179.71,159.25,184.98,4.71,1.46,0.75,1076.89,669.05,832.17
1975,10.43,26.84,0.43,0.45,58.98,119.64,111.87,341.43,149.06,161.03,169.87,4.42,1.22,0.56,857.5,434.17,563.33
1976,11.63,27.16,0.58,0.25,55.79,112.37,105.21,234.68,132.92,124.82,159.65,4.36,1.75,0.77,712.83,406.53,438.33
1977,12.57,28.68,0.79,0.18,47.89,95.35,88.37,252.23,103.22,147.72,158.32,4.64,1.63,0.81,852.75,530.03,580.25
1978,12.92,29.06,0.91,0.17,54.96,100.74,93.84,345.66,127.75,193.24,260.65,5.42,1.61,0.99,1079.17,600.33,607
1979,30.96,30.89,1.18,0.21,65.25,115.52,108.11,313.07,160.29,306.67,442.8,11.1,1.71,1.26,888.67,653.83,662.18
1980,36.87,40.14,1.59,0.63,78.23,125.26,128.86,410.74,172.73,607.86,679.1,20.8,2.06,1.42,858.75,583.69,597.61
1981,35.48,53.62,1.98,0.37,79.73,130.78,126.37,458.99,174.96,459.75,447.48,10.52,1.87,1.12,1042.75,570.67,506.85
1982,32.65,54.77,2.47,0.19,63.71,109.26,108.53,272.48,160.36,375.8,328.29,7.93,1.6,0.86,584.92,445.08,447.25
1983,29.66,38.19,2.59,0.19,70.89,136.02,128.76,256.8,157.42,422.53,423.31,11.43,1.85,1.06,710.92,501.43,526.88
1984,28.56,30.96,2.66,0.11,78.72,135.94,118.19,232.5,152.33,360.48,357.81,8.14,1.78,0.96,1016.67,728.83,724
1985,27.18,33.75,2.51,0.09,58.82,112.23,103.01,196.93,135.83,317.91,292.5,6.12,1.32,0.76,904.92,500.58,572
1986,14.35,31.13,1.94,0.13,47.56,87.56,82.41,186.25,114.92,367.69,465.04,5.44,1.06,0.81,569.42,257,342.42
1987,18.15,27.5,1.66,0.15,55,75.7,72.76,214.61,112.9,446.47,555.72,7.01,1.65,0.98,499.75,342.58,334.25
1988,14.72,34.88,1.68,0.22,70.33,106.89,98.46,277.47,145.2,437.05,530.34,6.53,1.4,1.18,590.33,437.17,463.42
1989,17.84,38,1.7,0.28,75.14,111.52,105.94,299.16,169.24,381.43,509.64,5.51,1.67,0.97,774.75,350.42,431.5
1990,22.88,39.67,1.7,0.28,79.93,109.28,103.94,270.85,135.52,383.47,471.59,4.83,1.82,0.86,963.67,289.75,447.33
